"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"295","1051",14860,25350,-0.371709371968787,-0.0443704286705592,"nov",0,0,1810.67099490679,16670.6709949068,8679.32900509321
"296","1052",12960,24450,-1.18312974206415,-0.245696639646672,"nov",0,0,1334.79831702746,14294.7983170275,10155.2016829725
"297","1061",19230,24810,1.49455747925055,-0.165166155256227,"nov",0,0,2309.76138508161,21539.7613850816,3270.23861491839
"298","1062",13860,15020,-0.798772724650558,-2.35514793909638,"nov",0,0,837.09918491499,14697.099184915,322.90081508501
"299","1063",13180,24130,-1.08917580447416,-0.317279292438179,"nov",0,0,1355.31769558838,14535.3176955884,9594.68230441162
"300","1064",14430,24430,-0.555346613621949,-0.250170555446141,"nov",0,0,1663.35582464545,16093.3558246455,8336.64417535455
"301","1073",11860,28850,-1.6528994300141,0.738564836236545,"nov",0,0,1521.01712984003,13381.01712984,15468.98287016
"302","1074",12720,23370,-1.28562494670778,-0.487288092818007,"nov",0,0,1185.99120345678,13905.9912034568,9464.00879654322
"303","1075",11580,25340,-1.77247716876499,-0.0466073865702942,"nov",0,0,1097.53299039722,12677.5329903972,12662.4670096028
"304","1076",15150,16400,-0.247860999691074,-2.04644774893301,"nov",0,0,1159.79811692711,16309.7981169271,90.2018830728921
"305","1085",13640,24510,-0.892726662240547,-0.232274892248264,"nov",0,0,1498.7686040801,15138.7686040801,9371.2313959199
"306","1086",12870,26000,-1.22156544380551,0.101031834812188,"nov",0,0,1468.21993664214,14338.2199366421,11661.7800633579
"307","1087",13190,23080,-1.08490517094734,-0.55215987191031,"nov",0,0,1263.26572264418,14453.2657226442,8626.73427735582
"308","1088",13460,23050,-0.969598065723266,-0.558870745609513,"nov",0,0,1319.33274045188,14779.3327404519,8270.66725954813
"309","1199",11710,25090,-1.71695893291636,-0.102531334063659,"nov",0,0,1105.87997657884,12815.8799765788,12274.1200234212
"310","1200",14650,23660,-0.461392676031959,-0.422416313725704,"nov",0,0,1637.55592810887,16287.5559281089,7372.44407189113
"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","1223",18370,27750,1.12728299594423,0.49249946726574,"nov",0,0,2382.86593039483,20752.8659303948,6997.13406960517
"314","1224",13100,16270,-1.1233408726887,-2.07552820162956,"nov",0,0,761.151134767072,13861.1511347671,2408.84886523293
"315","1245",14890,24030,-0.358897471388334,-0.339648871435524,"nov",0,0,1716.87885096495,16606.878850965,7423.12114903505
"316","1246",13240,22090,-1.06355200331326,-0.773618703984034,"nov",0,0,1193.36795084647,14433.3679508465,7656.63204915353
"317","1247",13810,23250,-0.820125892284646,-0.514131587614822,"nov",0,0,1414.82189156043,15224.8218915604,8025.17810843957
"318","1248",14030,22760,-0.726171954694657,-0.623742524701816,"nov",0,0,1417.63974263312,15447.6397426331,7312.36025736688
"319","1258",14210,24570,-0.649300551211938,-0.218853144849857,"nov",0,0,1631.05990064592,15841.0599006459,8728.94009935408
"320","1259",14270,24380,-0.623676750051032,-0.261355344944814,"nov",0,0,1625.77943427888,15895.7794342789,8484.22056572112
"321","1260",13980,24410,-0.747525122328745,-0.25464447124561,"nov",0,0,1565.8477776657,15545.8477776657,8864.15222233431
"322","1275",14710,22630,-0.435768874871052,-0.652822977398366,"nov",0,0,1553.16149299809,16263.1614929981,6366.83850700191
"323","1281",14790,22800,-0.401603806656511,-0.614794693102878,"nov",0,0,1586.27189777468,16376.2718977747,6423.72810222532
"324","1282",14510,22880,-0.521181545407407,-0.596899029905002,"nov",0,0,1533.9065217277,16043.9065217277,6836.0934782723
"325","1283",12680,24060,-1.30270748081505,-0.332937997736321,"nov",0,0,1235.47871586597,13915.478715866,10144.521284134
"326","1284",16590,23350,0.367110228170676,-0.491762008617476,"nov",0,0,1909.21028256552,18499.2102825655,4850.78971743448
"327","1293",13100,24260,-1.1233408726887,-0.288198839741629,"nov",0,0,1349.20066962975,14449.2006696298,9810.79933037025
"328","1294",14880,23170,-0.363168104915151,-0.532027250812698,"nov",0,0,1639.42187503463,16519.4218750346,6650.57812496537
"329","1295",16530,22240,0.34148642700977,-0.740064335488015,"nov",0,0,1844.5427825489,18374.5427825489,3865.4572174511
"330","1296",10720,23190,-2.13975165207132,-0.527553335013229,"nov",0,0,739.879591854071,11459.8795918541,11730.1204081459
"331","1305",14120,22920,-0.687736252953298,-0.587951198306063,"nov",0,0,1452.34137680966,15572.3413768097,7347.65862319034
"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","1307",14640,24000,-0.465663309558776,-0.346359745134728,"nov",0,0,1666.5303389465,16306.5303389465,7693.4696610535
"334","1308",13850,23140,-0.803043358177376,-0.538738124511902,"nov",0,0,1413.3876676843,15263.3876676843,7876.6123323157
"335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","1320",21620,30670,2.51523889215998,1.14569117398824,"nov",0,0,3504.89682213628,25124.8968221363,5545.10317786372
"337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","1332",12660,16790,-1.31124874786868,-1.95920639084336,"nov",0,0,697.048469745585,13357.0484697456,3432.95153025442
"339","1341",17890,31730,0.922292586656978,1.3828087113601,"nov",0,0,2722.17861772749,20612.1786177275,11117.8213822725
"340","1342",14880,28290,-0.363168104915151,0.613295193851408,"nov",0,0,1957.56373820011,16837.5637382001,11452.4362617999
"341","1344",16360,28930,0.268885657053868,0.756460499434421,"nov",0,0,2127.67358806514,18487.6735880651,10442.3264119349
"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","1354",15770,28770,0.0169182789716239,0.720669173038668,"nov",0,0,2052.80924254111,17822.8092425411,10947.1907574589
"344","1355",11980,30210,-1.60165182769229,1.04279111060045,"nov",0,0,1690.82350446306,13670.8235044631,16539.1764955369
"345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","1378",14310,23500,-0.606594215943761,-0.458207640121457,"nov",0,0,1549.96318771148,15859.9631877115,7640.03681228852
"347","1379",17520,30630,0.764279146164722,1.1367433423893,"nov",0,0,2492.16748763234,20012.1674876323,10617.8325123677
"348","1380",13520,21590,-0.94397426456236,-0.885466598970763,"nov",0,0,1211.75251984072,14731.7525198407,6858.24748015928
"349","1389",17080,25890,0.576371270984743,0.076425297915108,"nov",0,0,2058.58995939629,19138.5899593963,6751.41004060371
"350","1390",15040,21560,-0.294837968486069,-0.892177472669967,"nov",0,0,1522.63770987205,16562.6377098721,4997.36229012795
"351","1391",20450,27160,2.01557476952231,0.3605189511814,"nov",0,0,2698.66347898448,23148.6634789845,4011.33652101552
"352","1424",12680,29410,-1.30270748081505,0.863834478621681,"nov",0,0,1757.79703774384,14437.7970377438,14972.2029622562
"353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","1437",20170,30340,1.89599703077142,1.071871563297,"nov",0,0,3054.58484370206,23224.5848437021,7115.41515629794
"355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","1449",12490,18810,-1.38384951782458,-1.50734089509698,"nov",0,0,812.284522880031,13302.28452288,5507.71547711997
"357","1450",14870,24340,-0.36743873844197,-0.270303176543752,"nov",0,0,1738.57376766869,16608.5737676687,7731.42623233131
"358","1451",13380,28930,-1.00376313393781,0.756460499434421,"nov",0,0,1833.41059464715,15213.4105946471,13716.5894053529
"359","1452",15650,21700,-0.0343293233501882,-0.860860062073682,"nov",0,0,1660.05228993486,17310.0522899349,4389.94771006513
"360","1461",12590,27620,-1.34114318255641,0.463419014569191,"nov",0,0,1570.19586712034,14160.1958671203,13459.8041328797
"361","1462",12230,16850,-1.49488598952184,-1.94578464344495,"nov",0,0,589.64916463386,12819.6491646339,4030.35083536614
"362","1467",14970,22350,-0.324732403173792,-0.715457798590934,"nov",0,0,1581.79623113113,16551.7962311311,5798.20376886887
"363","1487",14580,20880,-0.491287110719683,-1.04429060985192,"nov",0,0,1367.67897941696,15947.678979417,4932.32102058305
"364","1488",16170,22260,0.187743620044333,-0.735590419688545,"nov",0,0,1795.26818708637,17965.2681870864,4294.73181291363
"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","1498",20860,25540,2.19067074412184,-0.00186822857560266,"nov",0,0,2617.10581701229,23477.1058170123,2062.8941829877
"367","1499",18900,21500,1.35362657286557,-0.905599220068374,"nov",0,0,2067.72880192033,20967.7288019203,532.271198079667
"368","1500",16310,20740,0.24753248941978,-1.0756080204482,"nov",0,0,1701.91868385106,18011.9186838511,2728.08131614894
"369","1521",13390,18690,-0.99949250041099,-1.53418438989379,"nov",0,0,985.958508951918,14375.9585089519,4314.04149104808
"370","1523",15520,33150,-0.0898475591988188,1.70045673312241,"nov",0,0,2322.87781305086,17842.8778130509,15307.1221869491
"371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","1534",20050,30650,1.8447494284496,1.14121725818877,"nov",0,0,3077.42725943366,23127.4272594337,7522.57274056634
"373","1536",13210,25360,-1.07636390389371,-0.0421334707708251,"nov",0,0,1484.02994148916,14694.0299414892,10665.9700585108
"374","1543",12840,19150,-1.23437734438596,-1.431284326506,"nov",0,0,908.954371978495,13748.9543719785,5401.04562802151
"375","1545",23100,28270,3.147292654129,0.608821278051939,"nov",0,0,3425.81475965517,26525.8147596552,1744.18524034483
"376","1546",11510,23480,-1.80237160345272,-0.462681555920926,"nov",0,0,938.998760041304,12448.9987600413,11031.0012399587
"377","1557",20300,29630,1.95151526662005,0.913047552415842,"nov",0,0,2972.58984531601,23272.589845316,6357.41015468399
"378","1558",17390,30530,0.708760910316093,1.11437376339195,"nov",0,0,2451.18183387202,19841.181833872,10688.818166128
"379","1809",16610,26280,0.375651495224311,0.163666656004757,"nov",0,0,2027.96276137259,18637.9627613726,7642.03723862741
"380","1810",13900,25080,-0.781690190543287,-0.104768291963394,"nov",0,0,1613.5403124182,15513.5403124182,9566.4596875818
"381","1811",17300,27720,0.670325208574733,0.485788593566536,"nov",0,0,2187.14852712101,19487.148527121,8232.85147287899
"382","1812",15150,27560,-0.247860999691074,0.449997267170783,"nov",0,0,1951.76878589194,17101.7687858919,10458.2312141081
"383","1821",17210,28180,0.631889506833374,0.588688656954327,"nov",0,0,2204.37276772358,19414.3727677236,8765.62723227642
"384","1823",14450,27670,-0.546805346568313,0.474603804067864,"nov",0,0,1891.67645618261,16341.6764561826,11328.3235438174
"385","1824",15940,27800,0.0895190489275249,0.503684256764413,"nov",0,0,2027.56098868628,17967.5609886863,9832.43901131372
"386","1845",15060,26750,-0.286296701432433,0.268803677292282,"nov",0,0,1910.22663193843,16970.2266319384,9779.77336806156
"387","1846",15200,27460,-0.226507832056985,0.427627688173438,"nov",0,0,1952.09174795368,17152.0917479537,10307.9082520463
"388","1847",16320,27460,0.251803122946598,0.427627688173438,"nov",0,0,2049.30871017888,18369.3087101789,9090.69128982112
"389","1848",14400,25250,-0.568158514202401,-0.0667400076679054,"nov",0,0,1728.6452929379,16128.6452929379,9121.3547070621
"390","499",17340,27390,0.687407742682004,0.411968982875295,"nov",0,0,2171.72465779576,19511.7246577958,7878.27534220424
"391","500",16650,28030,0.392734029331582,0.555134288458309,"nov",0,0,2113.99394034673,18763.9939403467,9266.00605965327
"392","509",18000,28070,0.969269555451973,0.564082120057247,"nov",0,0,2338.64927175355,20338.6492717535,7731.35072824645
"393","510",15890,28430,0.0681658812934368,0.644612604447692,"nov",0,0,2049.45143931834,17939.4514393183,10490.5485606817
"394","511",16190,28390,0.196284887097968,0.635664772848754,"nov",0,0,2078.51221602464,18268.5122160246,10121.4877839754
"395","512",15680,27500,-0.0215174227697354,0.436575519772376,"nov",0,0,1993.36600588288,17673.3660058829,9826.63399411712
"396","521",14280,28010,-0.619406116524214,0.55066037265884,"nov",0,0,1890.39780113498,16170.397801135,11839.602198865
"397","523",16130,27320,0.170661085937061,0.396310277577153,"nov",0,0,2025.41298728499,18155.412987285,9164.58701271502
"398","524",16080,27230,0.149307918302972,0.376177656479542,"nov",0,0,2017.32609013126,18097.3260901313,9132.67390986874
"399","533",17960,26880,0.952187021344702,0.297884129988831,"nov",0,0,2237.41063602121,20197.4106360212,6682.58936397879
"400","534",17040,27510,0.559288736877472,0.438812477672111,"nov",0,0,2135.86214557937,19175.8621455794,8334.13785442063
"401","535",12740,26780,-1.27708367965414,0.275514550991486,"nov",0,0,1518.25014805516,14258.2501480552,12521.7498519448
"402","536",15290,28480,-0.188072130315626,0.655797393946365,"nov",0,0,1998.31546832091,17288.3154683209,11191.6845316791
"403","545",15610,24300,-0.0514118574574595,-0.279251008142691,"nov",0,0,1846.96147361116,17456.9614736112,6843.03852638884
"404","546",18850,33960,1.33227340523148,1.88165032300092,"nov",0,0,3382.65384562516,22232.6538456252,11727.3461543748
"405","547",15040,25700,-0.294837968486069,0.0339230978201507,"nov",0,0,1855.79538697398,16895.795386974,8804.20461302602
"406","548",14650,29660,-0.461392676031959,0.919758426115046,"nov",0,0,1991.64209335824,16641.6420933582,13018.3579066418
"407","557",13790,28150,-0.828667159338282,0.581977783255123,"nov",0,0,1840.27419336133,15630.2741933613,12519.7258066387
"408","558",16380,27980,0.277426924107504,0.543949498959636,"nov",0,0,2079.47244355804,18459.472443558,9520.52755644196
"409","559",15010,27520,-0.307649869066522,0.441049435571845,"nov",0,0,1938.20212418044,16948.2021241804,10571.7978758196
"410","560",14560,27120,-0.499828377773318,0.351571119582462,"nov",0,0,1876.0336091545,16436.0336091545,10683.9663908455
"411","569",16880,26920,0.490958600448389,0.30683196158777,"nov",0,0,2084.3258930998,18964.3258930998,7955.67410690021
"412","570",19770,34670,1.72517168969871,2.04047433388207,"nov",0,0,3829.71665624485,23599.7166562449,11070.2833437551
"413","571",17070,27450,0.572100637457926,0.425390730273703,"nov",0,0,2136.47624013753,19206.4762401375,8243.52375986247
"414","572",17360,27700,0.695949009735639,0.481314677767067,"nov",0,0,2195.2987007846,19555.2987007846,8144.70129921541
"415","581",17670,27530,0.828338649066989,0.44328639347158,"nov",0,0,2234.75733050281,19904.7573305028,7625.24266949719
"416","582",16050,28500,0.13649601772252,0.660271309745834,"nov",0,0,2068.78031897967,18118.7803189797,10381.2196810203
"417","583",17140,30850,0.60199507214565,1.18595641618346,"nov",0,0,2429.89405915817,19569.8940591582,11280.1059408418
"418","584",14610,27240,-0.47847521013923,0.378414614379276,"nov",0,0,1887.54590722195,16497.5459072219,10742.4540927781
"419","593",13600,25700,-0.909809196347818,0.0339230978201507,"nov",0,0,1608.2117032883,15208.2117032883,10491.7882967117
"420","594",20350,35810,1.97286843425413,2.29548753445181,"nov",0,0,4251.1700183065,24601.1700183065,11208.8299816935
"421","595",16690,26160,0.409816563438854,0.136823161207942,"nov",0,0,2030.69354100396,18720.693541004,7439.30645899604
"422","596",15630,26260,-0.0428705904038235,0.159192740205288,"nov",0,0,1941.90196993712,17571.9019699371,8688.09803006288
"423","605",16430,27960,0.298780091741593,0.539475583160167,"nov",0,0,2084.08236570188,18514.0823657019,9445.91763429812
"424","606",15720,27650,-0.00443488866246418,0.470129888268394,"nov",0,0,2002.43473518734,17722.4347351873,9927.56526481266
